"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSFunctionalStatusCore","EHDSFunctionalStatusCore","","","",0,*,"","","","null {[]} {[]}
","Functional status","EHDS refined base model for Functional status","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSFunctionalStatusCore.header","EHDSFunctionalStatusCore.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSFunctionalStatusCore.header.subject","EHDSFunctionalStatusCore.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSFunctionalStatusCore.header.identifier","EHDSFunctionalStatusCore.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSFunctionalStatusCore.header.authorship","EHDSFunctionalStatusCore.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSFunctionalStatusCore.header.authorship.author[x]","EHDSFunctionalStatusCore.header.authorship.author[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSFunctionalStatusCore.header.authorship.datetime","EHDSFunctionalStatusCore.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSFunctionalStatusCore.header.lastUpdate","EHDSFunctionalStatusCore.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource (may be used for technical corrections).","Date and time of the last update to the resource (may be used for technical corrections).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSFunctionalStatusCore.header.status","EHDSFunctionalStatusCore.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSFunctionalStatusCore.header.statusReason[x]","EHDSFunctionalStatusCore.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSFunctionalStatusCore.header.language","EHDSFunctionalStatusCore.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSFunctionalStatusCore.description","EHDSFunctionalStatusCore.description","","","",0,1,"","","","string {[]} {[]}
","Narrative description of the functional status","Narrative description of the need for the patient to be continuously assessed by third parties; functional status may influence decisions about how to plan and administer treatments.","","eHN HDR Guideline, MyHealth@EU, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatusCore.description",0,1,"",""
"EHDSFunctionalStatusCore.functionalStatusAssessment","EHDSFunctionalStatusCore.functionalStatusAssessment","","","",0,*,"","","","Base {[]} {[]}
","Functional assessment of the patient","Functional status assessment of the patient according to a specific assessment scheme.","","eHN HDR Guideline, ISO IPS","","","","","","","",,,,,"",,,,"EHDSFunctionalStatusCore.functionalStatusAssessment",0,*,"",""
