"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"EHDSProcedureCore","EHDSProcedureCore","","","",0,*,"","","","null {[]} {[]}
","Procedure model","EHDS refined base model for an action that is or was performed on or for a patient","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"EHDSProcedureCore.header","EHDSProcedureCore.header","","","",1,1,"","","","Base {[]} {[]}
","Common header for all patient-related data","Common header for all patient-related data","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header",1,1,"",""
"EHDSProcedureCore.header.subject","EHDSProcedureCore.header.subject","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient {[]} {[]}
","Patient/subject information","Patient/subject information","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.subject",1,1,"",""
"EHDSProcedureCore.header.identifier","EHDSProcedureCore.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for the object","Business identifier for the object","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.identifier",0,*,"",""
"EHDSProcedureCore.header.authorship","EHDSProcedureCore.header.authorship","","","",1,*,"","","","Base {[]} {[]}
","Resource authoring details","Resource authoring details","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship",1,*,"",""
"EHDSProcedureCore.header.authorship.author[x]","EHDSProcedureCore.header.authorship.author[x]","","","",1,1,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","Author(s) by whom the resource was/were authored. Multiple authors could be provided.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.author[x]",1,1,"",""
"EHDSProcedureCore.header.authorship.datetime","EHDSProcedureCore.header.authorship.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of authoring/issuing","Date and time of authoring/issuing","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.authorship.datetime",1,1,"",""
"EHDSProcedureCore.header.lastUpdate","EHDSProcedureCore.header.lastUpdate","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time of the last update to the resource (may be used for technical corrections).","Date and time of the last update to the resource (may be used for technical corrections).","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.lastUpdate",0,1,"",""
"EHDSProcedureCore.header.status","EHDSProcedureCore.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the resource or document","Status of the resource or document","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.status",1,1,"",""
"EHDSProcedureCore.header.statusReason[x]","EHDSProcedureCore.header.statusReason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Reason for the current status of the resource.","Reason for the current status of the resource.","","","","","","","","","",,,,,"",,,,"EHDSDataSet.header.statusReason[x]",0,1,"",""
"EHDSProcedureCore.header.language","EHDSProcedureCore.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Language in which the resource is written. Language is expressed by the IETF language tag.","Language in which the resource is written. Language is expressed by the IETF language tag.","","","","","","","","","",,"preferred","BCP 47","","",,,,"EHDSDataSet.header.language",0,1,"",""
"EHDSProcedureCore.code","EHDSProcedureCore.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Code identifying the procedure","Code identifying the procedure","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSProcedureCore.code",0,1,"",""
"EHDSProcedureCore.date[x]","EHDSProcedureCore.date[x]","","","",0,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Date and time of the procedure or interval of its performance","Date and time of the procedure or interval of its performance","","","","","","","","","",,,,,"",,,,"EHDSProcedureCore.date[x]",0,1,"",""
"EHDSProcedureCore.description","EHDSProcedureCore.description","","","",0,1,"","","","string {[]} {[]}
","Description of the procedure","Description of the procedure","","","","","","","","","",,,,,"",,,,"EHDSProcedureCore.description",0,1,"",""
"EHDSProcedureCore.focalDevice","EHDSProcedureCore.focalDevice","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice {[]} {[]}
","Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","Device(s) that is/are implanted, removed, or otherwise manipulated (calibration, battery replacement, fitting a prosthesis, attaching a wound-vac, etc.) as a focal portion of the Procedure.","","","","","","","","","",,,,,"",,,,"EHDSProcedureCore.focalDevice",0,*,"",""
"EHDSProcedureCore.bodySite","EHDSProcedureCore.bodySite","","","",0,*,"","","","http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure {[]} {[]}
","Procedure target body site. Details of where the procedure was performed. Laterality may be included as qualifier of the body site.","Procedure target body site. Details of where the procedure was performed. Laterality may be included as qualifier of the body site.","","","","","","","","","",,,,,"",,,,"EHDSProcedureCore.bodySite",0,*,"",""
"EHDSProcedureCore.outcome","EHDSProcedureCore.outcome","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The outcome of the procedure - did it resolve the reasons for the procedure being performed?","The outcome of the procedure - did it resolve the reasons for the procedure being performed?","","","","","","","","","",,"preferred","SNOMED CT","","",,,,"EHDSProcedureCore.outcome",0,1,"",""
"EHDSProcedureCore.reason[x]","EHDSProcedureCore.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation {[]} {[]}http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure {[]} {[]}","The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.","The reason why the procedure was performed. This may be a concept from a terminology or a reference to a specific instance that describes the reason.","","","","","","","","","",,"preferred","SNOMED CT, ICD-10, Orphacode if rare disease is diagnosed","","",,,,"EHDSProcedureCore.reason[x]",0,*,"",""
"EHDSProcedureCore.complication","EHDSProcedureCore.complication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Any complications that occurred during the procedure, or in the immediate post-performance period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.","Any complications that occurred during the procedure, or in the immediate post-performance period. These are generally tracked separately from the procedure description, which will typically describe the procedure itself rather than any 'post procedure' issues.","","","","","","","","","",,"preferred","ICD-10, SNOMED CT, Orphacode if rare disease is diagnosed","","",,,,"EHDSProcedureCore.complication",0,*,"",""
