Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-xtehr.eu.ehds.models.json	26036	-	0	0	0	0	0	0	12	74	0	0	0	0	0	0	0	1	0	0	101	167	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-EHDSAddress.json	4174	9	0	9	0	0	0	0	0	66	0	0	0	0	0	0	0	1	0	0	56	986	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAdvanceDirective.json	5111	4	0	36	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	58	211	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-EHDSAlert.json	4115	3	0	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	46	168	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntolerance.json	2098	3	0	44	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	44	183	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSAllergyIntoleranceCore.json	10002	7	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	86	177	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSAttachment.json	3894	6	0	12	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	40	90	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSBodyStructure.json	3838	3	0	14	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSCarePlan.json	4191	3	0	19	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	52	82	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCondition.json	4500	4	0	44	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	50	125	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-EHDSConditionCore.json	6397	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	59	102	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCoverage.json	3859	4	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	41	57	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSCurrentPregnancy.json	3625	3	0	12	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	40	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EHDSDataSet.json	5419	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	58	64	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-EHDSDevice.json	5134	4	0	16	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	47	62	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-EHDSDeviceUse.json	2822	2	0	33	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	44	72	0	0	0	4	0	0
